time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
3.06,1440532.899000,6143825.390000,939020.236600,277.708660,-69.513288,-33.817369,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,64.163267,0.000000,0.000000,10.211901,1,0,0,0,0,0,0,0,0,307,0,0,0
3.07,1440535.676000,6143824.694000,939019.898400,277.681314,-69.540193,-33.819854,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,64.131837,0.000000,0.000000,10.206899,1,0,0,0,0,0,0,0,0,308,0,0,0
3.08,1440538.452000,6143823.999000,939019.560200,277.654090,-69.567137,-33.822356,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,64.100317,0.000000,0.000000,10.201882,1,0,0,0,0,0,0,0,0,309,0,0,0
3.09,1440541.228000,6143823.303000,939019.222000,277.626988,-69.594121,-33.824874,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,64.068708,0.000000,0.000000,10.196852,1,0,0,0,0,0,0,0,0,310,0,0,0
3.10,1440544.004000,6143822.607000,939018.883700,277.600008,-69.621144,-33.827409,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,64.037009,0.000000,0.000000,10.191807,1,0,0,0,0,0,0,0,0,311,0,0,0
3.11,1440546.780000,6143821.910000,939018.545400,277.573150,-69.648206,-33.829960,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,64.005220,0.000000,0.000000,10.186747,1,0,0,0,0,0,0,0,0,312,0,0,0
3.12,1440549.556000,6143821.213000,939018.207100,277.546414,-69.675306,-33.832527,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.973343,0.000000,0.000000,10.181674,1,0,0,0,0,0,0,0,0,313,0,0,0
3.13,1440552.331000,6143820.516000,939017.868700,277.519801,-69.702444,-33.835110,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.941376,0.000000,0.000000,10.176586,1,0,0,0,0,0,0,0,0,314,0,0,0
3.14,1440555.106000,6143819.819000,939017.530300,277.493310,-69.729621,-33.837709,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.909320,0.000000,0.000000,10.171484,1,0,0,0,0,0,0,0,0,315,0,0,0
3.15,1440557.880000,6143819.121000,939017.191900,277.466941,-69.756836,-33.840325,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,63.877175,0.000000,0.000000,10.166368,1,0,0,0,0,0,0,0,0,316,0,0,0
