time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,accel_x,accel_y,accel_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
8.73,1442101.843,6143384.822,938820.9376,282.0829,-84.964109,-36.823691,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.469093,-69.553555,0,36.801861,0,0,5.857198,1,1,0,0,0,1,0,0,0,874,747,0,0
8.74,1442104.664,6143383.972,938820.5693,282.120766,-84.982277,-36.829799,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.451658,-69.507115,0,36.746922,0,0,5.848454,1,1,0,0,0,1,0,0,0,875,747,0,0
8.75,1442107.486,6143383.122,938820.2009,282.158702,-85.000388,-36.835903,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.434234,-69.460708,0,36.691998,0,0,5.839713,1,1,0,0,0,1,0,0,0,876,747,0,0
8.76,1442110.308,6143382.272,938819.8325,282.196705,-85.018442,-36.842003,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.416826,-69.414333,0,36.63709,0,0,5.830974,1,1,0,0,0,1,0,0,0,877,747,0,0
8.77,1442113.13,6143381.421,938819.464,282.234777,-85.03644,-36.848098,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.399427,-69.367988,0,36.582199,0,0,5.822238,1,1,0,0,0,1,0,0,0,878,747,0,0
8.78,1442115.953,6143380.571,938819.0955,282.272916,-85.054381,-36.854189,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.382039,-69.321675,0,36.527324,0,0,5.813504,1,1,0,0,0,1,0,0,0,879,747,0,0
8.79,1442118.776,6143379.72,938818.7269,282.311123,-85.072266,-36.860275,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.364667,-69.275396,0,36.472466,0,0,5.804773,1,1,0,0,0,1,0,0,0,880,747,0,0
8.8,1442121.6,6143378.869,938818.3582,282.349397,-85.090093,-36.866357,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.347305,-69.229149,0,36.417624,0,0,5.796045,1,1,0,0,0,1,0,0,0,881,747,0,0
8.81,1442124.424,6143378.018,938817.9895,282.387738,-85.107864,-36.872435,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.329952,-69.182932,0,36.3628,0,0,5.787319,1,1,0,0,0,1,0,0,0,882,747,0,0
8.82,1442127.248,6143377.167,938817.6207,282.426145,-85.125578,-36.878507,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.312616,-69.136748,0,36.307993,0,0,5.778597,1,1,0,0,0,1,0,0,0,883,747,0,0
8.83,1442130.072,6143376.315,938817.2518,282.464619,-85.143235,-36.884575,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.29529,-69.090596,0,36.253203,0,0,5.769876,1,1,0,0,0,1,0,0,0,884,747,0,0
8.84,1442132.897,6143375.464,938816.8829,282.503159,-85.160835,-36.890639,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.277977,-69.044477,0,36.198431,0,0,5.761159,1,1,0,0,0,1,0,0,0,885,747,0,0
8.85,1442135.723,6143374.612,938816.514,282.541764,-85.178378,-36.896698,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.260674,-68.998388,0,36.143677,0,0,5.752445,1,1,0,0,0,1,0,0,0,886,747,0,0
8.86,1442138.549,6143373.76,938816.1449,282.580435,-85.195863,-36.902752,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.243522,-68.952423,0,36.088941,0,0,5.743733,1,1,0,0,0,1,0,0,0,887,747,0,0
8.87,1442141.375,6143372.908,938815.7758,282.619171,-85.213292,-36.908801,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.22653,-68.906597,0,36.034223,0,0,5.735025,1,1,0,0,0,1,0,0,0,888,747,0,0
8.88,1442144.201,6143372.055,938815.4067,282.657972,-85.230663,-36.914846,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.209552,-68.860799,0,35.979524,0,0,5.726319,1,1,0,0,0,1,0,0,0,889,747,0,0
8.89,1442147.028,6143371.203,938815.0375,282.696838,-85.247976,-36.920885,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.192587,-68.815032,0,35.924843,0,0,5.717616,1,1,0,0,0,1,0,0,0,890,747,0,0
8.9,1442149.856,6143370.35,938814.6682,282.735767,-85.265232,-36.92692,0,0,0,0,-0.024433,-0.024433,-0.024433,-0.024433,0,0,0,-46.175631,-68.769297,0,35.870182,0,0,5.708917,1,1,0,0,0,1,0,0,0,891,747,0,0
