missiontime,ecef_Pos_X,ecef_Pos_Y,ecef_Pos_Z,ecef_Vel_X,ecef_Vel_Y,ecef_Vel_Z,gps_week,gps_tow,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r, Roll, Pitch, Yaw, rollRPS,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
0.66,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.484269,-33.607146,0.000001,68.877954,0,0,0,0.436332,0,10.962267,380.998785,10.805724,146.461448,-0.174843,-0.336071,0,0.68878,0,0
0.67,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.469676,-33.575707,0.000001,68.870726,0,0,0,0.436332,0,10.961116,380.998583,-84.747325,119.938701,-0.174697,-0.335757,0,0.688707,0,0
0.68,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.455105,-33.544311,0.000001,68.86339,0,0,0,0.436332,0,10.959949,380.998382,-141.655466,38.740313,-0.174551,-0.335443,0,0.688634,0,0
0.69,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.440555,-33.512959,0.000001,68.855945,0,0,0,0.436332,0,10.958764,380.99818,-133.992122,-60.107204,-0.174406,-0.33513,0,0.688559,0,0
0.7,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.426026,-33.481651,0.000001,68.848393,0,0,0,0.436332,0,10.957562,380.997979,-65.269536,-131.553543,-0.17426,-0.334817,0,0.688484,0,0
0.71,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.411518,-33.450387,0.000001,68.840732,0,0,0,0.436332,0,10.956343,380.997779,33.18274,-143.056056,-0.174115,-0.334504,0,0.688407,0,0
0.72,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.397032,-33.419166,0.000001,68.832964,0,0,0,0.436332,0,10.955106,380.997578,116.509454,-89.394401,-0.17397,-0.334192,0,0.68833,0,0
0.73,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.382566,-33.387989,0.000001,68.825088,0,0,0,0.436332,0,10.953853,380.997378,146.767743,4.972317,-0.173826,-0.33388,0,0.688251,0,0
0.74,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.368122,-33.356855,0.000001,68.817103,0,0,0,0.436332,0,10.952582,380.997178,110.198124,97.064673,-0.173681,-0.333569,0,0.688171,0,0
0.75,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.353699,-33.325764,0.000001,68.809011,0,0,0,0.436332,0,10.951294,380.996978,23.469611,144.962194,-0.173537,-0.333258,0,0.68809,0,0
0.76,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.339296,-33.294717,0.000001,68.800812,0,0,0,0.436332,0,10.949989,380.996779,-73.930225,126.881304,-0.173393,-0.332947,0,0.688008,0,0
0.77,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.324915,-33.263713,0.000001,68.792504,0,0,0,0.436332,0,10.948667,380.99658,-137.680586,51.071355,-0.173249,-0.332637,0,0.687925,0,0
0.78,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.310554,-33.232753,0.000001,68.784088,0,0,0,0.436332,0,10.947328,380.996381,-138.793227,-47.961972,-0.173106,-0.332328,0,0.687841,0,0
0.79,-1187945.063,-6195310.147,940063.8309,-485.154808,-86.771648,618.072554,2384,388837,-17.296215,-33.201835,0.000001,68.775565,0,0,0,0.436332,0,10.945971,380.996183,-76.784039,-125.171106,-0.172962,-0.332018,0,0.687756,0,0
0.8,-1187951.67,-6195344.46,940186.7867,-484.45528,-83.117218,611.506685,2384,388837,-17.281896,-33.17096,0.000001,68.766934,0,0,0,0.436332,0,10.944598,380.995985,20.1301,-145.458095,-0.172819,-0.33171,0,0.687669,0,0
0.81,-1187951.67,-6195344.46,940186.7867,-484.45528,-83.117218,611.506685,2384,388837,-17.267599,-33.140129,0.000001,68.758196,0,0,0,0.436332,0,10.943207,380.995787,107.882049,-99.621413,-0.172676,-0.331401,0,0.687582,0,0
0.82,-1187951.67,-6195344.46,940186.7867,-484.45528,-83.117218,611.506685,2384,388837,-17.253322,-33.10934,0.000001,68.74935,0,0,0,0.436332,0,10.941799,380.995589,146.595096,-8.516141,-0.172533,-0.331093,0,0.687493,0,0
0.83,-1187951.67,-6195344.46,940186.7867,-484.45528,-83.117218,611.506685,2384,388837,-17.239066,-33.078594,0.000001,68.740396,0,0,0,0.436332,0,10.940374,380.995392,118.697923,86.447293,-0.172391,-0.330786,0,0.687404,0,0
0.84,-1187951.67,-6195344.46,940186.7867,-484.45528,-83.117218,611.506685,2384,388837,-17.22483,-33.047891,0.000001,68.731335,0,0,0,0.436332,0,10.938932,380.995195,36.88724,142.131445,-0.172248,-0.330479,0,0.687313,0,0
0.85,-1187951.67,-6195344.46,940186.7867,-484.45528,-83.117218,611.506685,2384,388837,-17.210616,-33.017231,0.000001,68.722166,0,0,0,0.436332,0,10.937472,380.994998,-61.66453,133.263598,-0.172106,-0.330172,0,0.687222,0,0
0.86,-1187951.67,-6195344.46,940186.7867,-484.45528,-83.117218,611.506685,2384,388837,-17.196422,-32.986613,0.000001,68.712889,0,0,0,0.436332,0,10.935996,380.994801,-132.207773,63.894372,-0.171964,-0.329866,0,0.687129,0,0
0.87,-1187951.67,-6195344.46,940186.7867,-484.45528,-83.117218,611.506685,2384,388837,-17.182248,-32.956037,0.000001,68.703506,0,0,0,0.436332,0,10.934503,380.994605,-142.734372,-34.466945,-0.171822,-0.32956,0,0.687035,0,0
0.88,-1187951.67,-6195344.46,940186.7867,-484.45528,-83.117218,611.506685,2384,388837,-17.168096,-32.925505,0.000001,68.694014,0,0,0,0.436332,0,10.932992,380.994409,-88.491004,-117.175504,-0.171681,-0.329255,0,0.68694,0,0
0.89,-1187951.67,-6195344.46,940186.7867,-484.45528,-83.117218,611.506685,2384,388837,-17.153964,-32.895014,0.000001,68.684416,0,0,0,0.436332,0,10.931464,380.994214,5.88926,-146.716593,-0.17154,-0.32895,0,0.686844,0,0
0.9,-1187954.921,-6195361.344,940247.7753,-484.109354,-81.310077,608.270975,2384,388837,-17.139852,-32.864566,0.000001,68.67471,0,0,0,0.436332,0,10.92992,380.994018,97.586154,-109.713584,-0.171399,-0.328646,0,0.686747,0,0
0.91,-1187954.921,-6195361.344,940247.7753,-484.109354,-81.310077,608.270975,2384,388837,-17.125761,-32.83416,0.000001,68.664897,0,0,0,0.436332,0,10.928358,380.993823,145.024694,-22.970677,-0.171258,-0.328342,0,0.686649,0,0
0.92,-1187954.921,-6195361.344,940247.7753,-484.109354,-81.310077,608.270975,2384,388837,-17.111691,-32.803796,0.000001,68.654976,0,0,0,0.436332,0,10.926779,380.993628,126.719764,74.172781,-0.171117,-0.328038,0,0.68655,0,0
0.93,-1187954.921,-6195361.344,940247.7753,-484.109354,-81.310077,608.270975,2384,388837,-17.097641,-32.773475,0.000001,68.644948,0,0,0,0.436332,0,10.925183,380.993434,50.993402,137.691174,-0.170976,-0.327735,0,0.686449,0,0
0.94,-1187954.921,-6195361.344,940247.7753,-484.109354,-81.310077,608.270975,2384,388837,-17.083612,-32.743195,0.000001,68.634814,0,0,0,0.436332,0,10.92357,380.99324,-47.824133,138.822639,-0.170836,-0.327432,0,0.686348,0,0
0.95,-1187954.921,-6195361.344,940247.7753,-484.109354,-81.310077,608.270975,2384,388837,-17.069603,-32.712958,0.000001,68.624571,0,0,0,0.436332,0,10.92194,380.993046,-124.968367,77.08091,-0.170696,-0.32713,0,0.686246,0,0
0.96,-1187954.921,-6195361.344,940247.7753,-484.109354,-81.310077,608.270975,2384,388837,-17.055614,-32.682762,0.000001,68.614222,0,0,0,0.436332,0,10.920293,380.992852,-145.519597,-19.552318,-0.170556,-0.326828,0,0.686142,0,0
0.97,-1187954.921,-6195361.344,940247.7753,-484.109354,-81.310077,608.270975,2384,388837,-17.041646,-32.652609,0.000001,68.603766,0,0,0,0.436332,0,10.918628,380.992659,-100.199691,-107.321737,-0.170416,-0.326526,0,0.686038,0,0
0.98,-1187954.921,-6195361.344,940247.7753,-484.109354,-81.310077,608.270975,2384,388837,-17.027698,-32.622497,0.000001,68.593203,0,0,0,0.436332,0,10.916947,380.992465,-9.544907,-146.514557,-0.170277,-0.326225,0,0.685932,0,0
0.99,-1187954.921,-6195361.344,940247.7753,-484.109354,-81.310077,608.270975,2384,388837,-17.01377,-32.592426,0.000001,68.582532,0,0,0,0.436332,0,10.915249,380.992273,85.414754,-119.422057,-0.170138,-0.325924,0,0.685825,0,0
1,-1188409.906,-6195291.405,940308.4419,-483.771737,-79.480791,605.06617,2384,388838,-16.999863,-32.562398,0.000001,68.571755,0,0,0,0.436332,0,10.913534,380.99208,141.732572,-38.325886,-0.169999,-0.325624,0,0.685718,0,0
1.01,-1188409.906,-6195291.405,940308.4419,-483.771737,-79.480791,605.06617,2384,388838,-16.985976,-32.532411,0.000001,68.560871,0,0,0,0.436332,0,10.911801,380.991888,133.964115,60.085765,-0.16986,-0.325324,0,0.685609,0,0
1.02,-1188409.906,-6195291.405,940308.4419,-483.771737,-79.480791,605.06617,2384,388838,-16.972109,-32.502465,0.000001,68.54988,0,0,0,0.436332,0,10.910052,380.991696,65.649336,131.326067,-0.169721,-0.325025,0,0.685499,0,0
1.03,-1188409.906,-6195291.405,940308.4419,-483.771737,-79.480791,605.06617,2384,388838,-16.958262,-32.472561,0.000001,68.538782,0,0,0,0.436332,0,10.908286,380.991504,-32.31755,143.218837,-0.169583,-0.324726,0,0.685388,0,0
1.04,-1188409.906,-6195291.405,940308.4419,-483.771737,-79.480791,605.06617,2384,388838,-16.944436,-32.442698,0.000001,68.527577,0,0,0,0.436332,0,10.906503,380.991313,-115.672245,90.419463,-0.169444,-0.324427,0,0.685276,0,0
1.05,-1188409.906,-6195291.405,940308.4419,-483.771737,-79.480791,605.06617,2384,388838,-16.930629,-32.412877,0.000001,68.516266,0,0,0,0.436332,0,10.904702,380.991122,-146.782806,-3.200588,-0.169306,-0.324129,0,0.685163,0,0
