time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
3.57,1440674.195000,6143789.573000,939002.953300,276.471691,-70.931478,-33.964459,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.941900,145.117948,-20.159820,62.448468,0.000000,0.000000,9.938982,0,0,1,0,0,0,0,0,0,0,0,358,0,0,0
3.58,1440676.959000,6143788.864000,939002.613600,276.450700,-70.960134,-33.967746,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.941751,129.515142,68.491998,62.412621,0.000000,0.000000,9.933277,0,0,1,0,0,0,0,0,0,0,0,359,0,0,0
3.59,1440679.724000,6143788.154000,939002.273900,276.429838,-70.988819,-33.971048,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.941602,65.071794,131.265671,62.376690,0.000000,0.000000,9.927559,0,0,1,0,0,0,0,0,0,0,0,360,0,0,0
3.60,1440682.488000,6143787.443000,939001.934100,276.409102,-71.017532,-33.974365,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.941454,-23.853936,144.553428,62.340677,0.000000,0.000000,9.921827,0,0,1,0,0,0,0,0,0,0,0,361,0,0,0
3.61,1440685.252000,6143786.733000,939001.594300,276.388494,-71.046274,-33.977696,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.941305,-103.757047,103.435334,62.304580,0.000000,0.000000,9.916082,0,0,1,0,0,0,0,0,0,0,0,362,0,0,0
3.62,1440688.015000,6143786.022000,939001.254500,276.368014,-71.075045,-33.981043,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.941157,-144.616257,23.456782,62.268401,0.000000,0.000000,9.910324,0,0,1,0,0,0,0,0,0,0,0,363,0,0,0
3.63,1440690.779000,6143785.311000,939000.914700,276.347662,-71.103843,-33.984405,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.941010,-131.153570,-65.287925,62.232139,0.000000,0.000000,9.904553,0,0,1,0,0,0,0,0,0,0,0,364,0,0,0
3.64,1440693.542000,6143784.600000,939000.574800,276.327437,-71.132670,-33.987781,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.940862,-68.507572,-129.499708,62.195795,0.000000,0.000000,9.898768,0,0,1,0,0,0,0,0,0,0,0,365,0,0,0
3.65,1440696.305000,6143783.888000,939000.234900,276.307340,-71.161524,-33.991173,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.940715,19.771144,-145.162852,62.159368,0.000000,0.000000,9.892971,0,0,1,0,0,0,0,0,0,0,0,366,0,0,0
3.66,1440699.068000,6143783.176000,938999.895000,276.287372,-71.190405,-33.994579,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,380.940568,100.605138,-106.496235,62.122859,0.000000,0.000000,9.887160,0,0,1,0,0,0,0,0,0,0,0,367,0,0,0
