time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,gyro_p,gyro_q,gyro_r,roll_rate_rps,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,main_cycles,t1_cycles,t2_cycles,t3_cycles
34.86,-1194686.869,-6193815.521,952675.1586,-423.573044,232.988899,189.587633,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3487,747,1604,1707
34.87,-1194686.869,-6193815.521,952675.1586,-423.573044,232.988899,189.587633,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3488,747,1604,1707
34.88,-1194686.869,-6193815.521,952675.1586,-423.573044,232.988899,189.587633,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3489,747,1604,1707
34.89,-1194686.869,-6193815.521,952675.1586,-423.573044,232.988899,189.587633,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3490,747,1604,1707
34.9,-1194681.229,-6193786.228,952712.9536,-423.342224,234.172839,188.363374,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3491,747,1604,1707
34.91,-1194681.229,-6193786.228,952712.9536,-423.342224,234.172839,188.363374,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3492,747,1604,1707
34.92,-1194681.229,-6193786.228,952712.9536,-423.342224,234.172839,188.363374,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3493,747,1604,1707
34.93,-1194681.229,-6193786.228,952712.9536,-423.342224,234.172839,188.363374,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3494,747,1604,1707
34.94,-1194681.229,-6193786.228,952712.9536,-423.342224,234.172839,188.363374,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3495,747,1604,1707
34.95,-1194681.229,-6193786.228,952712.9536,-423.342224,234.172839,188.363374,0,0,0,-0.349757,-0.349757,-0.349757,-0.349757,0.33605,0.436489,6.2831,0.000749,-0.006201,0.016315,0.000119,1,1,1,1,1,1,1,1,3496,747,1604,1707
