missiontime,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
1.95,1440222.704,6143901.009,939057.6609,281.4663028,-66.8168686,-33.64825874,-68.13616032,-116.9024841,0,67.067749,0,0,380.969529,22.778091,144.912453,-0.68136157,-1.169025628,0,0.670677,0,0
1.96,1440225.519,6143900.341,939057.3244,281.4263899,-66.83821859,-33.6487987,-68.07540572,-116.7889079,0,67.046957,0,0,380.969336,-72.220568,127.680494,-0.680754615,-1.167890457,0,0.67047,0,0
1.97,1440228.333,6143899.672,939056.9879,281.3865806,-66.85962846,-33.64935715,-68.01473971,-116.6754926,0,67.026065,0,0,380.969144,-135.920677,55.166542,-0.68014766,-1.166755287,0,0.670261,0,0
1.98,1440231.146,6143899.004,939056.6514,281.3468753,-66.88109803,-33.64993405,-67.954159,-116.562238,0,67.005072,0,0,380.968952,-140.783377,-41.200454,-0.679540704,-1.165623397,0,0.670051,0,0
1.99,1440233.959,6143898.335,939056.3149,281.3072741,-66.90262715,-33.6505294,-67.89367015,-116.4491441,0,66.983978,0,0,380.96876,-84.757431,-119.721651,-0.67893703,-1.164491507,0,0.66984,0,0
2,1440236.772,6143897.665,939055.9784,281.2677771,-66.92421565,-33.65114318,-67.83326661,-116.3362111,0,66.962783,0,0,380.968568,7.887203,-146.473709,-0.678333355,-1.163362898,0,0.669628,0,0
2.01,1440239.584,6143896.996,939055.6419,281.2283846,-66.94586334,-33.65177538,-67.77295164,-116.2234388,0,66.941487,0,0,380.968377,97.098584,-109.946714,-0.67772968,-1.162234289,0,0.669415,0,0
2.02,1440242.396,6143896.326,939055.3053,281.1890968,-66.96757009,-33.65242599,-67.71272198,-116.1108272,0,66.920091,0,0,380.968186,144.367028,-25.966051,-0.677126006,-1.161108961,0,0.669201,0,0
2.03,1440245.207,6143895.656,939054.9688,281.1499139,-66.98933572,-33.65309499,-67.65258091,-115.9983764,0,66.898594,0,0,380.967996,129.33688,69.193251,-0.676525612,-1.159983633,0,0.668986,0,0
2.04,1440248.019,6143894.986,939054.6323,281.1108361,-67.01116005,-33.65378237,-67.59252841,-115.8860864,0,66.876997,0,0,380.967805,58.544981,134.491189,-0.675925218,-1.158861586,0,0.66877,0,0
2.05,1440250.829,6143894.316,939054.2957,281.0718636,-67.03304292,-33.65448812,-67.53256122,-115.7739538,0,66.855299,0,0,380.967615,-37.453589,141.817784,-0.675324825,-1.157739538,0,0.668553,0,0
2.06,1440253.64,6143893.645,939053.9592,281.0329964,-67.05498415,-33.65521221,-67.47268261,-115.661982,0,66.833502,0,0,380.967426,-117.295535,88.070841,-0.674727712,-1.156620772,0,0.668335,0,0
2.07,1440256.45,6143892.975,939053.6226,280.9942349,-67.07698358,-33.65595464,-67.4128893,-115.550171,0,66.811603,0,0,380.967236,-146.63452,-3.562859,-0.674127318,-1.155502005,0,0.668116,0,0
2.08,1440259.259,6143892.304,939053.286,280.9555791,-67.09904104,-33.65671538,-67.35318129,-115.4385175,0,66.789605,0,0,380.967047,-112.898564,-93.637341,-0.673530205,-1.15438652,0,0.667896,0,0
2.09,1440262.068,6143891.632,939052.9495,280.9170294,-67.12115634,-33.65749442,-67.29356186,-115.3270214,0,66.767507,0,0,380.966858,-30.646501,-143.438107,-0.672936373,-1.153271034,0,0.667675,0,0
2.1,1440264.877,6143890.961,939052.6129,280.8785857,-67.14332931,-33.65829175,-67.23403102,-115.2156828,0,66.745309,0,0,380.966669,64.74532,-131.610803,-0.67233926,-1.152155549,0,0.667453,0,0
2.11,1440267.685,6143890.289,939052.2763,280.8402484,-67.1655598,-33.65910735,-67.1745822,-115.104505,0,66.723011,0,0,380.966481,132.315432,-63.290188,-0.671745428,-1.151046625,0,0.66723,0,0
