missiontime,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Gyro_p, Gyro_q, Gyro_r,bmx,bmy,bmz,deltaVx,deltaVy,deltaVz,deltaThetaX,deltaThetaY,deltaThetaZ
0.43,1438989.69,6151307.802,941041.4112,110.2276189,-1.946533923,728.117123,-79.57665937,-137.4918778,0,69.014322,0,0,381.002216,-32.779153,-143.172434,-0.795767742,-1.374918023,0,0.690143,0,0
0.44,1438990.792,6151307.507,941041.3916,110.2036467,-1.967406417,728.117123,-79.47624926,-137.3211691,0,69.009586,0,0,381.001978,65.871995,-131.275758,-0.794763805,-1.373211986,0,0.690096,0,0
0.45,1438991.894,6151307.211,941041.3717,110.1796878,-1.98828075,728.117123,-79.37606225,-137.1508213,0,69.004741,0,0,381.00174,134.369925,-59.302559,-0.793759868,-1.37150923,0,0.690047,0,0
0.46,1438992.995,6151306.914,941041.3516,110.1557424,-2.009156926,728.117123,-79.27609506,-136.9808312,0,68.999788,0,0,381.001503,141.377446,39.800926,-0.792762493,-1.369809755,0,0.689998,0,0
0.47,1438994.097,6151306.616,941041.3313,110.1318105,-2.03003495,728.117123,-79.1763444,-136.8112019,0,68.994726,0,0,381.001265,83.701574,120.68707,-0.791761836,-1.368113561,0,0.689947,0,0
0.48,1438995.198,6151306.317,941041.3108,110.1078924,-2.050914829,728.117123,-79.07681355,-136.6419302,0,68.989556,0,0,381.001029,-12.259454,146.357967,-0.790767742,-1.366420647,0,0.689896,0,0
0.49,1438996.299,6151306.017,941041.2901,110.0839882,-2.071796567,728.117123,-78.97749925,-136.4730195,0,68.984277,0,0,381.000792,-102.605463,105.084225,-0.789773647,-1.364731015,0,0.689843,0,0
0.5,1438997.399,6151305.717,941041.2691,110.060098,-2.092680169,723.806164,-78.87840147,-136.3044597,0,68.97889,0,0,381.000556,-146.02033,15.756445,-0.788782834,-1.363044663,0,0.689789,0,0
0.51,1438998.499,6151305.415,941041.248,110.0362219,-2.113565641,723.806164,-78.77952024,-136.1362576,0,68.973394,0,0,381.00032,-122.663167,-80.768663,-0.787795301,-1.361361592,0,0.689734,0,0
0.52,1438999.6,6151305.113,941041.2267,110.0123602,-2.134452987,723.806164,-78.68085554,-135.9684099,0,68.96779,0,0,381.000085,-43.228217,-140.359461,-0.786807768,-1.359685083,0,0.689678,0,0
0.53,1439000.699,6151304.81,941041.2051,109.9885129,-2.155342214,723.806164,-78.58240737,-135.8009164,0,68.962077,0,0,380.99985,55.960186,-135.784912,-0.785823516,-1.358008574,0,0.689621,0,0
0.54,1439001.799,6151304.506,941041.1833,109.9646803,-2.176233326,723.806164,-78.48417246,-135.6337707,0,68.956256,0,0,380.999615,129.563871,-69.151398,-0.784842545,-1.356338626,0,0.689563,0,0
0.55,1439002.899,6151304.201,941041.1614,109.9408624,-2.197126329,723.806164,-78.3861508,-135.4669794,0,68.950326,0,0,380.99938,143.954552,29.076238,-0.783861574,-1.354668679,0,0.689503,0,0
0.56,1439003.998,6151303.895,941041.1392,109.9170594,-2.218021227,723.806164,-78.28833912,-135.3005391,0,68.944288,0,0,380.999146,92.572134,114.01039,-0.782883883,-1.353005293,0,0.689443,0,0
0.57,1439005.097,6151303.589,941041.1168,109.8932714,-2.238918026,723.806164,-78.19074397,-135.1344466,0,68.938142,0,0,380.998912,-1.094113,146.855032,-0.781906193,-1.351345188,0,0.689381,0,0
0.58,1439006.195,6151303.281,941041.0942,109.8694986,-2.259816731,723.806164,-78.09336208,-134.9687018,0,68.931888,0,0,380.998678,-94.252041,112.622285,-0.780935064,-1.349688363,0,0.689319,0,0
0.59,1439007.294,6151302.973,941041.0714,109.8457412,-2.280717347,723.806164,-77.99619016,-134.8033016,0,68.925525,0,0,380.998445,-144.360205,26.962686,-0.779960655,-1.348031539,0,0.689255,0,0
0.6,1439008.392,6151302.664,941041.0484,109.8219993,-2.301619879,719.551011,-77.89922821,-134.6382523,0,68.919054,0,0,380.998212,-128.551805,-70.999423,-0.778992807,-1.346381277,0,0.689191,0,0
0.61,1439009.49,6151302.353,941041.0251,109.7982729,-2.322524332,719.551011,-77.80247624,-134.4735443,0,68.912474,0,0,380.997979,-54.061396,-136.541128,-0.778024959,-1.344734295,0,0.689125,0,0
0.62,1439010.588,6151302.042,941041.0017,109.7745624,-2.343430712,719.551011,-77.70593425,-134.3091808,0,68.905787,0,0,380.997747,45.096151,-139.757222,-0.777060392,-1.343090594,0,0.689058,0,0
0.63,1439011.685,6151301.73,941040.9781,109.7508678,-2.364339023,719.551011,-77.60960222,-134.1451618,0,68.898991,0,0,380.997515,123.66526,-79.19771,-0.776095825,-1.341450174,0,0.68899,0,0
0.64,1439012.783,6151301.418,941040.9542,109.7271892,-2.38524927,719.551011,-77.51348017,-133.9814872,0,68.892087,0,0,380.997283,145.805119,17.489176,-0.775134539,-1.339816316,0,0.688921,0,0
0.65,1439013.88,6151301.104,941040.9302,109.7035269,-2.406161459,719.551011,-77.41756153,-133.8181506,0,68.885075,0,0,380.997052,101.432906,106.188512,-0.774176534,-1.338182458,0,0.688851,0,0
0.66,1439014.976,6151300.79,941040.9059,109.6798809,-2.427075594,719.551011,-77.32185615,-133.6551552,0,68.877954,0,0,380.996821,10.805036,146.449706,-0.773218529,-1.33655188,0,0.68878,0,0
0.67,1439016.073,6151300.474,941040.8814,109.6562514,-2.447991681,719.551011,-77.22635418,-133.492501,0,68.870726,0,0,380.99659,-84.740291,119.929058,-0.772263804,-1.334924583,0,0.688707,0,0
0.68,1439017.169,6151300.158,941040.8567,109.6326386,-2.468909724,719.551011,-77.1310589,-133.3301814,0,68.86339,0,0,380.996359,-141.64374,38.737296,-0.77130908,-1.333300568,0,0.688634,0,0
0.69,1439018.265,6151299.841,941040.8318,109.6090426,-2.489829729,719.551011,-77.03596703,-133.1682031,0,68.855945,0,0,380.996129,-133.980995,-60.102009,-0.770360917,-1.331683113,0,0.688559,0,0
0.7,1439019.361,6151299.523,941040.8067,109.5854636,-2.5107517,719.551011,-76.94108186,-133.0065561,0,68.848393,0,0,380.995899,-65.264171,-131.542305,-0.769409473,-1.330065659,0,0.688484,0,0
0.71,1439020.457,6151299.204,941040.7814,109.5619016,-2.531675642,719.551011,-76.84640338,-132.8452503,0,68.840732,0,0,380.99567,33.179701,-143.043802,-0.768464592,-1.328451486,0,0.688407,0,0
0.72,1439021.552,6151298.884,941040.7559,109.5383569,-2.552601561,719.551011,-76.75192503,-132.6842759,0,68.832964,0,0,380.99544,116.499185,-89.386765,-0.76751971,-1.326843874,0,0.68833,0,0
0.73,1439022.647,6151298.563,941040.7301,109.5148296,-2.573529461,719.551011,-76.65765337,-132.5236361,0,68.825088,0,0,380.995212,146.75479,4.971682,-0.766578109,-1.325236263,0,0.688251,0,0
0.74,1439023.742,6151298.242,941040.7042,109.4913198,-2.594459348,719.551011,-76.56358185,-132.3633277,0,68.817103,0,0,380.994983,110.188396,97.055839,-0.765636507,-1.323631932,0,0.688171,0,0
0.75,1439024.837,6151297.919,941040.678,109.4678277,-2.615391225,719.551011,-76.46971373,-132.2033507,0,68.809011,0,0,380.994755,23.467683,144.949023,-0.764698187,-1.322034163,0,0.68809,0,0
0.76,1439025.931,6151297.596,941040.6517,109.4443534,-2.636325099,719.551011,-76.37604903,-132.0437083,0,68.800812,0,0,380.994527,-73.923262,126.869759,-0.763759867,-1.320436394,0,0.688008,0,0
0.77,1439027.026,6151297.272,941040.6251,109.4208972,-2.657260973,719.551011,-76.28258446,-131.8843907,0,68.792504,0,0,380.994299,-137.667714,51.0668,-0.762824828,-1.318845187,0,0.687925,0,0
